Division,District,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 Rawalpindi,Rawalpindi,25,25,25,25,25,25,25,25,25,25,25,25,29,30,30,30,30,30,30,30
 Rawalpindi,Jehlum,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11
 Rawalpindi,Attock,13,13,13,13,13,13,13,13,13,14,14,14,15,14,14,14,14,14,14,14
 Rawalpindi,Chakwal,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Bahawalpur,Bahawalpur,21,21,21,21,21,21,21,21,22,22,23,23,24,24,24,24,24,24,23,24
Bahawalpur,Bahawalnagar,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,22
Bahawalpur,Rahim Yar Khan,22,22,22,22,22,22,22,22,26,26,26,26,27,27,27,27,24,27,27,27
D.G.Khan,D.G. Khan,14,14,14,14,14,14,14,14,15,15,15,15,17,18,18,12,18,18,18,18
D.G.Khan,Rajanpur,12,12,12,12,12,12,12,13,13,13,13,16,16,16,16,16,16,16,15,16
D.G.Khan,Muzaffargarh,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21
D.G.Khan,Layyah,7,7,7,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8
Multan,Multan,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,32,32
Multan,Vehari,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,19,19,19,19,19
Multan,Khanewal,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,18,18,18
Multan,Sahiwal,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17
Multan,Pakpattan,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,13,12,11,12
Multan,Lodhran,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
 Lahore,Lahore,76,75,76,72,76,76,76,76,79,77,77,77,80,82,83,84,84,84,84,84
 Lahore,Kasur,16,16,16,16,16,16,16,17,18,18,18,19,20,20,20,20,20,20,20,20
 Lahore,Okara,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,18,19,19,19
 Lahore,Sheikhupura,25,21,25,25,23,23,13,12,12,14,15,15,16,20,16,16,16,15,16,16
Gujranwala,Gujranwala,28,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30
Gujranwala,Sialkot,24,26,26,26,26,26,26,26,26,26,26,26,27,26,27,27,27,32,32,27
Gujranwala,Gujrat,16,16,16,16,16,16,16,16,20,20,20,22,22,18,22,22,22,22,23,23
Gujranwala,Norowal,12,12,12,12,13,13,13,12,13,13,13,13,14,14,14,14,14,14,14,14
Gujranwala,Mandi Baha-ud-Din,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11
Gujranwala,Hafizabad,7,7,7,7,7,7,7,7,9,9,9,9,10,10,10,10,10,10,10,10
 Faisalabad,Faisalabad,27,27,28,28,26,27,28,28,34,35,35,38,40,40,40,40,40,41,41,41
 Faisalabad,Toba Tek Singh,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
 Faisalabad,Jhang,19,19,19,19,19,19,19,19,19,19,11,12,14,14,14,14,14,14,14,14
 Faisalabad,Chiniot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9
 Sargodha,Sargodha,23,23,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27
 Sargodha,Mianwali,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19
 Sargodha,Khushab,8,8,8,13,8,16,17,17,8,8,8,8,8,9,9,6,9,9,9,9
 Sargodha,Bhakkar,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11
