Division,District,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 Rawalpindi,Rawalpindi,27,33,33,33,33,33,33,32,33,33,34,32,31,30,30,30,30,45,44,44
 Rawalpindi,Jehlum,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5
 Rawalpindi,Attock,13,14,14,14,14,17,17,18,18,23,24,26,26,26,26,26,26,27,27,26
 Rawalpindi,Chakwal,3,3,4,4,4,6,6,5,5,6,6,6,6,6,5,6,6,7,6,7
Bahawalpur,Bahawalpur,6,6,6,6,6,6,6,6,7,7,7,6,6,6,10,6,12,13,13,13
Bahawalpur,Bahawalnagar,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
Bahawalpur,Rahim Yar Khan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,5,14,12,12,15
D.G.Khan,D.G. Khan,3,4,0,0,0,0,2,0,0,0,8,11,11,9,2,12,14,5,5,4
D.G.Khan,Rajanpur,7,7,8,8,6,6,6,7,7,6,6,11,11,11,4,4,11,16,7,7
D.G.Khan,Muzaffargarh,1,1,1,2,1,3,2,1,1,1,10,10,2,8,10,8,24,24,26,26
D.G.Khan,Layyah,4,2,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,4
Multan,Multan,1,1,1,1,1,1,1,1,1,1,1,9,1,6,0,7,6,7,6,7
Multan,Vehari,0,0,0,0,0,0,0,1,3,0,1,4,1,7,1,1,1,10,1,9
Multan,Khanewal,3,3,3,3,3,3,3,3,3,4,3,2,2,4,2,2,2,2,2,4
Multan,Sahiwal,6,1,5,5,4,5,5,4,6,5,5,6,6,6,6,6,4,7,6,7
Multan,Pakpattan,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,4,4,1,2
Multan,Lodhran,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,4,4
 Lahore,Lahore,12,12,11,19,16,16,16,20,15,26,26,14,14,14,13,13,13,13,13,13
 Lahore,Kasur,10,10,8,10,10,10,10,10,8,8,8,9,9,8,8,8,8,8,8,34
 Lahore,Okara,2,2,2,2,2,2,7,2,8,7,7,8,7,7,7,19,13,12,12,13
 Lahore,Sheikhupura,5,5,3,4,4,4,7,7,3,3,4,4,4,20,4,4,4,4,4,4
Gujranwala,Gujranwala,5,11,3,5,11,11,11,11,11,10,10,36,39,36,38,38,38,37,34,34
Gujranwala,Sialkot,5,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,7,7,4
Gujranwala,Gujrat,7,8,7,7,12,12,12,12,8,8,8,19,23,23,26,27,8,27,26,25
Gujranwala,Norowal,1,1,1,1,1,1,1,1,1,1,6,1,1,5,1,5,5,5,5,5
Gujranwala,Mandi Baha-ud-Din,2,4,2,2,3,2,3,3,3,2,2,2,2,3,19,3,3,3,3,3
Gujranwala,Hafizabad,1,0,1,1,5,5,5,5,5,4,4,7,0,4,9,9,9,10,9,9
 Faisalabad,Faisalabad,17,17,17,17,16,15,17,17,9,10,9,8,6,6,6,6,6,6,6,5
 Faisalabad,Toba Tek Singh,2,2,2,2,2,2,3,3,3,3,5,4,4,6,8,4,4,4,4,4
 Faisalabad,Chiniot,0,0,0,0,0,0,0,0,0,0,9,8,6,6,6,6,6,7,15,8
 Faisalabad,Jhang,8,8,11,16,13,19,14,12,12,12,0,0,0,0,5,11,11,11,11,15
 Sargodha,Sargodha,4,12,3,16,2,4,2,2,3,3,3,3,3,3,3,2,2,2,5,6
 Sargodha,Mianwali,2,2,2,2,2,2,2,2,2,2,1,9,2,2,2,2,2,2,2,2
 Sargodha,Khushab,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
 Sargodha,Bhakkar,2,2,2,0,2,2,2,2,2,4,2,2,3,3,3,7,3,3,3,13
